Navier-Stokes
Time	Subtitle	Machine Translation
1s	Hi, this is Charles Hoskinson broadcasting live from rough and rugged	こんにちは、チャールズ・ホスキンソンです。
6s	Wyoming up here in Gillette auxiliary office taking care of some of the	ここはワイオミング州の荒々しいジレットにある補助 事務所で、
10s	transition to our good friends at Monument Health uh who are as you know a	私たちの良き友人である モニュメント・ヘルスへの引き継ぎ作業を行っています。ご存知のように、モニュメント・ヘルスはメイヨー・クリニックの
15s	Mayo affiliate and they're having a lovely time slowly but surely taking	関連機関で、私たちが
20s	custody of the beautiful building we built and figuring out how they're going	建てた美しい建物をゆっくりと着実に引き継ぎ、ワイオミング州ジレットの皆さんに
23s	to provide excellent wonderful healthc care to everybody in Gillette Wyoming	素晴らしい医療を提供する方法を模索しています。
28s	but something came out today something that, you know, you just got to enjoy it	今日、あることが発表されました。それは、発表されたら 楽しむしかないようなことです
32s	when it comes out. And of course, because it's artificial intelligence,	。 そしてもちろん、 人工知能である以上、あらゆる事柄は
37s	everything is always remarkably controversial.	常に非常に 物議を醸すものだ。
41s	So, let me show you guys a little something.	それでは、皆さんにちょっとした ものをお見せしましょう。
49s	Okay, so this is a tweet from OpenAI and it said something rather remarkable. So	さて、これはOpenAIのツイートなのですが、 かなり注目すべきことが書かれていました。 まず
57s	first off, what are the Millennium problems? Millennium problems are a	最初に、ミレニアム 問題とは何でしょうか？ ミレニアム問題とは、
1:01	bunch of problems that a organization called Cray Institute uh put	クレイ研究所という組織が
1:07	million-dollar bounties on and they're considered to be the most important and	100万ドルの懸賞金をかけた一連の問題で、
1:11	hardest problems in all of mathematics with some overlap in physics. These are	物理学と一部重複するものの、数学全体の中で最も重要かつ最も難しい問題と考えられています。 これらは、
1:16	the kinds of problems that if you solve um you get turbo tenure. That's the kind	解決すれば 超長期の在職期間が得られる種類の問題です。 それは、
1:21	of tenure where uh you can become a cannibal and uh set nuns on fire on the	-
