Why Real Stablecoins Don't Pay Yield | Interview w James & Marco at USDM | Dose of Alpha - Ep. 16
Time	Subtitle	Machine Translation
0s	you think about stable coins, there's a handful of ways you can build a stable	ステーブルコインについて考えると、ス テーブルコインを構築する方法はいくつかあります
3s	coin coins. Some are not stable coins in my opinion. They're more yield coins.	。 私の意見では、中には安定コインとは言えないものもある。 それらは利回りの高いコインです。 私が
6s	I'll set. But I was always interested in the fiat backstable coins. I thought	設定します。 しかし、私は常に法定通貨の裏金に興味を持っていた 。
10s	that was the most straightforward and safest use case.	それが最も単純で 安全な使用例だと考えました。
13s	>> Took me 3 days to answer. It's the first time I actually thought about something	回答するのに3日かかりました。
15s	ahead of time. Uh really for the most part. And um I got three people telling	事前に何かをちゃんと考えたのは、これが初めてだ。 ええ、ほとんどの場合そうですね 。 そして、３人から
20s	me, "Are you sure?" Cuz it's real money. You got to produce real, you know, uh	「本当に大丈夫？」と聞かれました。 だって、それは本物のお金だから。 実際 …に
24s	value coming in. People got to invest in you. Because who wants to put all of	価値を生み出す必要がある。人々があなたに投資するには、それが必要だ 。 だって、誰が
28s	their asset movement from their treasury on chain in a public fashion? That's not	自分の資金運用におけるすべての資産の動きを、 公の場で記録に残したいと思うだろうか？ それは
32s	something you want to do. If you're running a small private company or a	あなたがやりたいことではありません。 あなたが 小規模な非公開企業を経営している場合でも、
34s	large public company, you don't want everyone to see where what your money's	大規模な公開企業を経営している場合でも、 資金がどこでどのように使われているかを皆に知られたくないでしょう
37s	doing and how it's moving. I I don't want to be doing that if I'm running a	。 もし私が
39s	company. >> Today on a Dose of Alpha, we have very	会社を経営する立場なら、そんなことはしたくない。 今日の「ドーズ・オブ・アルファ」には、
42s	special guests from USDM. We have James and Marco. Guys, welcome.	USDMから特別なゲストをお迎えしています。 ジェームズ とマルコがいます。 皆さん、ようこそ。
46s	>> I've got no audio. I just >> I knew it was going to drop on me.	音声がありません。 とにかく、それが 自分に降りかかってくるだろうと分かっていたんです。 はい
49s	>> All right, that's okay. We can restart. [laughter]	、大丈夫です。 再開できます。 [笑い]
52s	>> As soon as it went live, James has totally dropped. Typical. I told you	公開された途端、ジェームズは 完全に落ち込んだ。 典型的な。 ほら、言った通りだろ
