Block//45 - Lace Wallet Interview with Nate Strang
Time	Subtitle	Machine Translation
0s	Lace Carbon will be released as an optional as an opt-in experience later	Lace Carbonは、今月後半にオプション機能としてリリースされる予定です
4s	this month. First thing you'll notice as a user is completely new look and feel	。 ユーザーとしてまず最初に気づくのは、アプリケーションの見た目と操作感が完全に一新されていることでしょう
9s	of the application. You can start staking and earning yield with Realy in	。 Realyを使えば、たった2クリックでステーキングを開始し、利回りを得ることができます
14s	two clicks. >> Can you do them both simultaneously?	。 両方を同時に行うことはできますか？ それは、この企画の
17s	>> So that's that's an exciting piece of this. So both the credit market and	興味深い点の一つです 。 つまり、クレジット市場と
22s	RealFi exist and can stand on their own as exciting offerings. But when you	RealFiはどちらも存在し、それぞれが 魅力的なサービスとして独立して成り立つことができるのだ。 しかし、
28s	combine them, something even cooler is is possible.	それらを組み合わせると、さらに素晴らしいことが 可能になります。 もっとたくさん
31s	>> Make a lot more money. >> You can make a lot more money.	稼ぐ。 もっとたくさん稼げるよ 。
33s	>> So, get on it. >> Yeah, get on [laughter] it.	さあ、取り掛かろう。 ああ、やってみよう（笑）。
41s	>> Welcome back to Block 45. I'm Wendy O. We're here with the Crypto Crow and we	ブロック45へようこそ。ウェンディ・Oです。今日は クリプト・クロウと、そして
46s	are also here with a special guest. We have Nate String from Lace and we're	スペシャルゲストをお迎えしています。 今回は Laceのネイト・ストリング氏をお迎えし、
51s	also going to talk about everything Cardano. How you doing today, Nate?	カルダノに関するあらゆることについてお話します。 ネイト、今日の調子はどう？
53s	>> I'm doing great. It's great to be here with you guys. We're going to fight by	元気です。 皆さんと一緒にいられて嬉しいです。 私たちは戦うつもりですが、番組内で
56s	but so you know we're going to fight on the show.	戦うつもりです 。
59s	>> Yeah. And there's going to be a little bit of controversy on this one, guys,	うん。 そして 皆さん、これはちょっと物議を醸しそうな話なのですが、
1:02	because there was some strong words between the two boys outside. But don't	二人の少年が外で激しい言葉を交わしたんです。 でも
1:06	worry, we're going to work it out. We're going to clarify some things. We're also	心配しないで、きっと解決できるよ。 いくつか明確にしておきたい点があります。 また、
1:09	going to be talking about the future because there's a lot of exciting things	-
1:11	coming to Gardano, especially with Lace and what you guys are building and what	ガルダノにはこれからたくさんのエキサイティングなことが待ち受けているので、将来についても話し合っていきたいと思います。特にLace や皆さんが構築しているもの、行っていることなど、非常に興味深いですね
1:15	you guys are doing. And you Crow might just have to duke it out.	。 そして、カラスよ、お前は直接 対決しなければならないかもしれない。
1:19	>> I'm a lover, not a fighter. Don't don't hurt me.	私は愛を重んじる人間であって、戦う人間ではない。 私を 傷つけないで。
1:21	>> All good things come as a as a factor of adversity. I I personally I want to know	良いことはすべて、 逆境という要素から生まれる。 個人的には、あなたがどんな人なのかもう少し知りたいんです。
1:25	a little bit more about who you are, right? Because we just met for the first	初対面なので、
1:29	time and uh I'd like to get into a little bit about your background like	あなたの経歴について少しお伺いしたいのですが、
1:33	why are you here and what do you do? Like what got you started into crypto?	なぜここにいるのか、そして普段は何をされているのかなど。 例えば、あなたが仮想通貨に興味を持ったきっかけは何ですか？
1:36	>> Yeah, absolutely. So I've I've been in the web 3 space since early 2018. uh I	ええ、もちろんです。 私は 2018年初頭からWeb3の分野に携わっています。
1:42	initially got into it just because I was fascinated by what the potential was for	最初は、この
1:47	the technology to create new economies to increase access	技術が 新たな経済を生み出し、
1:53	to financial instruments to financial services that you know we take for	金融商品や金融 サービスへのアクセスを拡大する可能性に魅了されたからです。ご存知のように、
1:58	granted here in the United States but that a lot of the world doesn't have	アメリカでは当たり前のように享受できる金融サービスは、世界の 多くの地域では
2:02	that same privilege and I actually got into the space uh working in a	同じような恩恵を受けていません。私は
2:07	consulting capacity but very soon after uh joined a company called Soulflare	コンサルタントとしてこの分野に参入しましたが、その後すぐに
2:12	which is a prominent wallet on the Salana uh blockchain.	Salanaブロックチェーン上の著名なウォレットであるSoulflareという会社に入社しました。
2:16	>> Oh, we're really fighting. [laughter] >> No, we got one of theirs. That's fine.	ああ、私たちは本当に喧嘩している。 [笑い] いや、彼らのものを1つ手に入れたんだ。 それはいいです。
2:20	That's fine. >> Yeah,	それはいいです。 そう、まさにその通り
2:21	>> this is the thing. Being multi-chain is especially important, I feel like. And	。 マルチチェーンであることは 特に重要だと感じます。 そして、まさにそれが
2:24	that's that's kind of what we're seeing now. We're starting to see a lot of	今私たちが目にしている状況なのです。
2:27	interoperability. I feel like Cardano kind of led with that with Midnight just	相互運用性が大幅に向上し始めている。 Cardanoは Midnightで少しだけその方向性を先導したような気がする
2:30	a tad. So, it's good. It's good that he's good that he knows about other	。 だから、良いことだ。 彼が 他の
2:33	chains. He knows about Cardano. And me personally, I am not a chain maxi. I	チェーン店についてもよく知っているのは良いことだ。 彼はカルダノについて知っている。 そして私 自身は、チェーンマキシドレスは好みません。 私はそれが気に入りません
2:37	don't like it. I just don't think it's fun that way because I feel like we're	。 そういうやり方は面白くないと思うんです。暗号通貨の世界では
2:40	in so much competition in crypto, but a positive competition like consistently	競争が激しすぎるように感じるからです。でも、
2:44	building the best version of everything to make the future of whatever this is,	-
2:48	whether it's going to be AI or finance or blockchain, whatever that may be, to	AIであれ、金融であれ、ブロック チェーンであれ、何であれ、未来のあらゆるものにおいて常に最高のバージョンを構築していくような、建設的な競争の方が良いと思うんです。そうすることで、
2:52	make it the best version so everybody continues to have equal access.	誰もが 平等にアクセスできる未来が実現すると思うんです。
2:56	>> That's true. It's not a zero- sum game, right? That is very true. I should I	それは本当だ。 これはゼロサムゲームではないですよね ？ それは全くその通りです。 もう
3:00	should be all grown up by now, but unfortunately, [laughter]	大人になっているはずなのに、 残念ながら（笑）、まだ
3:03	I still struggle. It's the old days, you No, I'm I'm I'm kind of an OG, I guess	苦労しています。 昔の話だよ、 いや、僕は、僕は、まあ、OGみたいなものかな
3:08	you could say. And uh I'm back I'm from the old school where we still have bar	。 ええと、私は戻ってきました。私は 昔ながらの人間で、今でも
3:13	brawls over chain tribalism. >> And you know, I I agree that I don't	チェーンの部族主義をめぐって酒場で乱闘騒ぎが起きるような時代を生きています。 そして、私もそう思います。
3:18	think that in the future, hopefully not too far distant future, there won't we	将来、願わくばそう 遠くない将来、
3:22	won't be talking about chains. There won't be such siloed communities that	チェーンについて話すことがなくなることはないと思います。
3:26	are doing different things in different ecosystems that all of it will converge	異なる エコシステムでそれぞれ異なる活動を行うような、孤立したコミュニティは存在しなくなり、すべてが収束し、
3:30	and we won't even need to be talking about protocols or interoperability. But	プロトコルや相互運用性について議論する必要すらなくなるでしょう。 でも、
3:34	we're even though it feels like we've been around for a while and we've been	私たちは長い間活動していて、
3:37	doing this for a long time, we're still in very early days. And that it makes me	この仕事を長く続けているように感じますが、実際にはまだ始まったばかりなんです 。 そして、それが私を
3:42	excited. Uh it also, you know, it makes me take pause when I look at things and	ワクワクさせるのです。 ええと、それはまた、 物事を見て、
3:49	think that they should be different, think that things should work more	それらは違うべきである、物事は互いに もっと密接に連携するべきである、互いにうまく連携するべきであると考えるときに、立ち止まって考えるきっかけにもなります
3:53	closely with each other, work better uh with each other. Um and so yeah, it's a	。 ええ、そうですね、ここは
3:58	it's an exciting place to be in. You know, I joke around a lot, but I'm	刺激的な場所です。 よく冗談を言いますが、自分がやっていることの
4:02	obviously pretty serious about a lot of the things that I do. And um I'm a lace	多くにはかなり真剣に取り組んでいます 。 えっと、私はレースの
4:06	user, right? So, it it's like I my in the early days, I was using datalus, you	ユーザーですよね？ つまり、 初期の頃は、Datalusを使っていたようなものなんです。分かりますか
4:12	know what I mean? So, anytime I wanted to do anything, I had to sit there for	？ だから、何かをしたいときはいつでも 、
4:14	five and a half hours waiting for everything to sync up and download and	すべてが同期してダウンロードされるまで5時間半も座って待たなければなりませんでした。
4:19	uh and and I I've used other wallets in the past. Um but now that I'm on Lace, I	そして、私は過去に他のウォレットを使用したことがあります 。 えっと、でも今はレースを使っているんですが、
4:25	you know, it's like it sometimes it feels hit or miss, right? Okay. you	時々、当たり外れがあるような気がするんですよね。 わかった 。 …ほら
4:29	know, it's like some days it works lickety split, I have no issues and then	、ある日はあっという間に動いて 、何の問題もないんだけど、
4:32	other days depending on like my dereppp load or what I've got going on, it'll	別の日は、私のデレップ 負荷とか、私がやってることによっては、
4:36	hang on me sometimes. Like what >> what what's happening right now to	時々フリーズするんだ。
4:40	address some of the issues that that are part topic of discussion?	議論の対象となっている問題に対処するために、現在どのような取り組みが行われているのでしょうか？
4:44	>> Yeah, that's a good question. Uh I think a good way to frame it is to talk about	ええ、それは良い質問ですね。 ええと、 この件を説明する良い方法は、
4:50	something that we were working uh very deeply on for the last almost two years	私たちが過去 2 年間かけて非常に深く取り組んできたことについて話すことだと思います。それは、私たちが
4:55	uh which was what we refer to as our our version two update which came out in in	バージョン 2 アップデートと呼んでいるもので、
5:00	May of this year and like you like you alluded to uh we have	今年の 5 月にリリースされました。 ご指摘のとおり、その
5:05	had some performance some stability issues uh that have followed that	-
5:09	release and I think that's a a symptom of of a couple of things one being lace	リリース後にパフォーマンスや安定性の問題が発生しました。これはいくつかのことの症状だと思います。1 つは、 Lace
5:15	v2 2 was a massive rewrite rearchitecture of the application. So we	v2 2 が アプリケーションの大規模な書き直しと再設計だったことです。 つまり、
5:20	went from what was previously in v1 uh a single platform application uh you know	以前のv1にあった 単一プラットフォームアプリケーション、つまり単一のチェーンを
5:26	a web extension platform that supported a single chain. We wanted to look to the	サポートするWeb拡張プラットフォームから移行したということです 。 私たちは将来を見据え、
5:31	future and say well what do we need to do to be able to onboard new chains more	-
5:36	quickly to support mobile applications and other platforms. Um, and how do we	モバイルアプリケーション やその他のプラットフォームをサポートするために、新しいチェーンをより迅速にオンボーディングするには何が必要かを考えたかったのです。 ええと、何か
5:40	do that in a way that each time we want to do something new or build something	新しいことをしたり、
5:44	new, we're not uh at risk of breaking things, of slowing our our entire	新しいものを構築したりするたびに、何かを壊したり、
5:50	technology and our entire infrastructure down. And so V2 was was very much an	テクノロジーやインフラ全体を遅くしたりするリスクを負わないようにするには、どうすればいいのでしょうか 。 ですから、V2はまさに
5:55	investment in kind of the foundation and I like to say the plumbing of the	-
5:59	application. And there were some shortcomings with the release in terms	アプリケーションの基盤、いわば配管部分への投資だったと言えるでしょう。 また、 リリースにあたっては、本来あるべきほどスムーズに
6:03	of things that weren't working as smoothly as they could be. Uh the on the	動作しない部分など、いくつかの欠点があった 。
6:09	bright side, we are releasing a v2.1 update in the coming days. Um that's	良いニュースとしては、 近日中にバージョン2.1のアップデートをリリースする予定です。 ええ、
6:16	>> okay. But by the time this goes out, >> by the time this is out, they'll they'll	大丈夫です。 しかし、これが公開される頃には、 これが公開される頃には、彼らは
6:19	be live. And uh 2.1 fixes most if not all of those performance issues that we	ライブ配信しているだろう。 そして、2.1では、これまで発生していた パフォーマンスの問題
6:26	had, the stability issues, um things like hanging transactions, not being	、安定性の問題、 トランザクションのハングアップ、
