# Devs versus Builders

| Time | Subtitle |
| --- | --- |
| 0s | Hi, this is Charles Hoskinson broadcasting live from warm and sunny |
| 5s | Colorado. I was actually just in Wyoming and uh I was just about to say rough and |
| 10s | rugged Wyoming, but actually I'm back back in the office heading to uh to work |
| 15s | tomorrow. Uh but I want to make a quick video uh this weekend about something |
| 19s | that's come up. Midnight is our most responsive, fastest moving, most agile, |
| 27s | and forward-looking project that we have. Uh, you know, there are things |
| 31s | that are being done in Midnight at a speed I've never seen in the history of |
| 36s | software development. Uh, we're building a DeFi kernel. Uh, we're building a |
| 41s | specialized DeFi language that is secure by construction. Um, to complement it, |
| 47s | we're we're doing chain abstraction. We have Midnight Passport moving along |
| 51s | really quickly. Uh, you know, we have Midnight City building the agentic |
| 55s | Civilization. There's almost 10,000 people floating around. Uh, and it's |
| 59s | growing by leaps and bounds. We're actually constraining it till we have |
| 1:02 | the bring your own agent and there's a ton of amazing things that are there. |
| 1:06 | Uh, you know, recursion is uh coming along quite well. Composition is coming |
| 1:10 | along quite well. Um, and really we're thinking around the dimensions of how do |
| 1:14 | you productize a privacy preserving ecosystem and how do you make that |
| 1:18 | privacy preserving ecosystem become a VPN for finance? You know, you just |
| 1:24 | click a button and it just works everywhere. And we're already having |
| 1:28 | conversations about how do these things work with things like Bitcoin DeFi and |
| 1:33 | lending and all those other things. Awesome. So |
| 1:38 | what this means is every quarter the Midnight foundation gets together and |
| 1:42 | they say is the original strategy that we had good or do we need to change and |
| 1:47 | pivot that strategy to accommodate an evolving roadmap an evolving ecosystem |
| 1:52 | and an evolving landscape. Uh so recently they announced that they've |
| 1:57 | pivoted and they've gotten rid of part of the DevRel team and they're moving |
| 2:01 | towards builders and some people are floating around say, "Oh, how dare you |
| 2:05 | do that? That's the worst thing in the world. Oh no. Oh no. It's like so bad. |
| 2:10 | You've gotten rid of all the build the developers and that means Midnight's |
| 2:14 | dying and the experiment's over." Ah, you know, because everybody just wants |
| 2:20 | to panic and be shitty about everything. Here's the thing. We focused a lot on |
| 2:25 | developers with Cardano as did other blockchains and it was a metric people |
| 2:29 | would track this many developers on the chain and it meant something when a |
| 2:35 | human being is writing code it meant a lot. There's a person using their brain |
| 2:41 | to type on a keyboard with a lot of training and experience and they have |
| 2:46 | chosen to take that very finite resource and apply that very finite resource to |
| 2:52 | to basically and we got that guy doing that. Not sure why I'm not able to ban |
| 2:58 | him. Huh. |
| 3:02 | All right. Well, I can't block him in the chat. Oh well. uh they take that |
| 3:06 | very finite resource and uh basically they they choose to spend it on |
| 3:12 | Midnight. Okay, |
| 3:17 | that's a big deal. But we live in an age where there's vibe |
| 3:22 | coding and vibe engineering and you can have people who have no technical |
| 3:27 | knowledge and no experience use these tools to look like a developer. |
| 3:33 | So it's no longer a scarce and finite resource. It's no longer a resource that |
| 3:38 | matters much. This is a resource that is infinite in its ability. |
| 3:45 | And excuse me, I just have to. |
| 4:02 | Sorry about that. Dog was trying to come in. |
| 4:07 | It's a resource that's not finite anymore. It's a resource that's |
| 4:11 | infinite. So if you build DevRel and you create incentives the way we used to do, |
| 4:16 | winning hackathons, how many lines of code, uh interesting open- source |
| 4:21 | projects, what'll end up happening is you have a huge amount of people come in |
| 4:26 | and game the system. They say, "Oh, well uh I built this app. |
| 4:33 | I mean Grok. I mean Claude |
| 4:40 | did it, and then what ends up happening is you spend an enormous amount of time |
| 4:45 | on verification of human authorship. So then you have to go and ask lots of |
| 4:51 | probing questions and this that and the other and even though they have |
| 4:54 | something that works and they have something that demonstrates that they've |
| 4:58 | interfaced with the platform, you now have to go into the well did you cheat |
